Rank,Building,City,Height_m,Height_ft,Floors,DateComplete,Material,Use,city_ns,lat,lon
47.0,Minsheng Bank Building,Wuhan,331.0,"1,086",68.0,2008.0,steel,office,wuhan,30.5941987,114.2732728
48.0,C hina World Tower,Beijing,330.0,"1,083",74.0,2010.0,composite,hotel / office,beijing,39.904211,116.407395
49.0,Keangnam Hanoi Landmark Tower,Hanoi,328.6,"1,078",72.0,2012.0,concrete,"hotel / residential /
office",hanoi,21.017324,105.784054
50.0,Longxi International Hotel,Jiangyin,328.0,"1,076",72.0,2011.0,composite,residential / hotel,jiangyin,31.920658,120.284939
51.0,Al Yaqoub Tower,Dubai,328.0,"1,076",69.0,2013.0,concrete,hotel / office,dubai,25.216353,55.279817
52.0,Wuxi Suning Plaza 1,Wuxi,328.0,"1,076",67.0,2014.0,composite,hotel / serviced apartments / office,wuxi,0.0,0.0
53.0,The Index,Dubai,326.0,"1,070",80.0,2010.0,concrete,residential / office,dubai,17.4704549,78.4796614
54.0,The Landmark,Abu Dhabi,324.0,"1,063",72.0,2013.0,concrete,residential / office,abudhabi,24.484955,54.35076
55.0,Deji Plaza,Nanjing,324.0,"1,063",62.0,2013.0,composite,hotel / office,nanjing,32.042952,118.784805
56.0,Q1 Tower,Gold C oast,322.5,"1,058",78.0,2005.0,concrete,residential,goldcoast,-28.162857,153.5101712
57.0,Wenzhou Trade C enter,Wenzhou,321.9,"1,056",68.0,2011.0,concrete,hotel / office,wenzhou,28.0119438,120.6745853
58.0,Burj Al Arab,Dubai,321.0,"1,053",56.0,1999.0,composite,hotel,dubai,25.1406734,55.1850269
59.0,Nina Tower,Hong Kong,320.4,"1,051",80.0,2006.0,concrete,hotel / office,hongkong,22.368611,114.113056
60.0,New York Times Tower,New York C ity,318.8,"1,046",52.0,2007.0,steel,office,newyorkcity,40.756389,-73.99
61.0,HHHR Tower,Dubai,317.6,"1,042",72.0,2010.0,concrete,residential,dubai,25.221219,55.280739
62.0,Nanjing International Youth C ultural C entre,Nanjing,314.5,"1,032",68.0,2015.0,composite,hotel / office,nanjing,32.060255,118.796877
63.0,Bank of America Plaza,Atlanta,311.8,"1,023",55.0,1992.0,composite,office,atlanta,33.7708018,-84.3865055
64.0,Moi C enter Tower A,Shenyang,311.0,"1,020",75.0,2014.0,composite,hotel / office,shenyang,41.805699,123.431472
65.0,U.S. Bank Tower,Los Angeles,310.3,"1,018",73.0,1990.0,steel,office,losangeles,34.0511203,-118.2543221
66.0,Ocean Heights,Dubai,310.0,"1,017",83.0,2010.0,concrete,residential,dubai,25.0905232,55.1487198
67.0,Menara TM,Kuala Lumpur,310.0,"1,017",55.0,2001.0,concrete,office,kualalumpur,3.11619235,101.665764531
68.0,Pearl River Tower,Guangzhou,309.4,"1,015",71.0,2013.0,composite,office,guangzhou,23.12911,113.264385
69.0,Fortune C enter,Guangzhou,309.4,"1,015",68.0,2015.0,composite,office,guangzhou,23.1228168,113.3868664
70.0,Emirates Tower Two,Dubai,309.0,"1,014",56.0,2000.0,composite,hotel,dubai,25.2175,55.281944
71.0,Stalnaya Vershina,Moscow,308.9,"1,013",72.0,2015.0,composite,"residential / hotel /
office",moscow,55.755826,37.6173
72.0,Burj Rafal,Riyadh,307.9,"1,010",68.0,2014.0,concrete,residential / hotel,riyadh,24.7924716,46.6323402
73.0,The Franklin - North Tower,C hicago,306.9,"1,007",60.0,1989.0,composite,office,chicago,0.0,0.0
74.0,C ayan Tower,Dubai,306.4,"1,005",73.0,2013.0,concrete,residential,dubai,25.0869437,55.1452575
75.0,One57,New York C ity,306.1,"1,004",75.0,2014.0,steel/concrete,residential / hotel,newyorkcity,0.0,0.0
76.0,East Pacific C enter Tower A,Shenzhen,306.0,"1,004",85.0,2013.0,composite,residential,shenzhen,22.543096,114.057865
77.0,The Shard,London,306.0,"1,004",73.0,2013.0,composite,"residential / hotel /
office",london,50.1843179,137.3093004
78.0,JPMorgan C hase Tower,Houston,305.4,"1,002",75.0,1982.0,composite,office,houston,29.7604018,-95.3639845
79.0,Etihad Towers T2,Abu Dhabi,305.3,"1,002",80.0,2011.0,concrete,residential,abudhabi,24.4583442,54.3223175026
80.0,Northeast Asia Trade Tower,Incheon,305.0,"1,001",68.0,2011.0,composite,"residential / hotel /
office",incheon,37.389167,126.643889
81.0,Baiyoke Tower II,Bangkok,304.0,997.0,85.0,1997.0,concrete,hotel,bangkok,13.7530037,100.539616905
82.0,Shenzhen C FC C hangfu C entre,Shenzhen,303.8,997.0,68.0,2016.0,composite,office,shenzhen,22.543096,114.057865
82.0,Wuxi Maoye C ity - Marriott Hotel,Wuxi,303.8,997.0,68.0,2014.0,composite,hotel,wuxi,0.0,0.0
84.0,Two Prudential Plaza,C hicago,303.3,995.0,64.0,1990.0,concrete,office,chicago,41.8854235,-87.6227041
85.0,"Diwang International Fortune
C enter",Liuzhou,303.0,994.0,75.0,2015.0,composite,"residential / hotel /
office",liuzhou,0.0,0.0
86.0,Greenland Puli C enter,Jinan,303.0,994.0,61.0,2014.0,composite,office,jinan,36.651216,117.12
87.0,"Jiangxi Nanchang Greenland C entral
Plaza 1",Nanchang,303.0,994.0,59.0,2015.0,composite,office,nanchang,28.6875841,115.8560812
87.0,"Jiangxi Nanchang Greenland C entral
Plaza 2",Nanchang,303.0,994.0,59.0,2015.0,composite,office,nanchang,28.6875841,115.8560812
89.0,Leatop Plaza,Guangzhou,302.7,993.0,64.0,2012.0,composite,office,guangzhou,23.125922,113.3256969
90.0,Wells Fargo Plaza,Houston,302.4,992.0,71.0,1983.0,steel,office,houston,29.7584166,-95.3683009
91.0,Kingdom C entre,Riyadh,302.3,992.0,41.0,2002.0,steel/concrete,"residential / hotel /
office",riyadh,24.7111837,46.673401
92.0,The Address,Dubai,302.2,991.0,63.0,2008.0,concrete,residential / hotel,dubai,25.1939,55.2791
93.0,C apital C ity Moscow Tower,Moscow,301.8,990.0,76.0,2010.0,concrete,residential,moscow,55.755826,37.6173
94.0,Shenzhen Zhongzhou Holdings Financial C enter,Shenzhen,300.8,987.0,61.0,2014.0,steel,hotel / office,shenzhen,22.543096,114.057865
95.0,"Doosan Haeundae We've the Zenith
Tower A",Busan,300.0,984.0,80.0,2011.0,concrete,residential,busan,35.1795543,129.0756416
96.0,Torre C ostanera,Santiago,300.0,984.0,62.0,2014.0,concrete,office,santiago,-33.416889,-70.606706
97.0,Abeno Harukas,Osaka,300.0,984.0,60.0,2014.0,steel,hotel / office / retail,osaka,34.6937378,135.5021651
97.0,Arraya Tower,Kuwait C ity,300.0,984.0,60.0,2009.0,concrete,office,kuwaitcity,29.3764208,47.9903037
99.0,Aspire Tower,Doha,300.0,984.0,36.0,2007.0,composite,hotel / office,doha,25.262472,51.444833
100.0,First C anadian Place,Toronto,298.1,978.0,72.0,1975.0,steel,office,toronto,43.6488906,-79.3808726
101.0,One Island East,Hong Kong,298.1,978.0,68.0,2008.0,concrete,office,hongkong,22.2861339,114.2134538
102.0,4 World Trade C enter,New York C ity,297.7,977.0,65.0,2014.0,composite,office,newyorkcity,40.7126325,-74.0133929
103.0,Eureka Tower,Melbourne,297.3,975.0,91.0,2006.0,concrete,residential,melbourne,-37.821638,144.9645348
104.0,C omcast C enter,Philadelphia,296.7,974.0,57.0,2008.0,composite,office,philadelphia,39.9525839,-75.1652215
105.0,Landmark Tower,Yokohama,296.3,972.0,73.0,1993.0,steel,hotel / office,yokohama,35.4545635,139.6314218
106.0,R&F Yingkai Square,Guangzhou,296.2,972.0,66.0,2014.0,composite,"residential / hotel /
office",guangzhou,23.12911,113.264385
107.0,Emirates C rown,Dubai,296.0,971.0,63.0,2008.0,concrete,residential,dubai,25.0376563,55.297333
108.0,Xiamen Shimao Straits Tower B,Xiamen,295.3,969.0,67.0,2015.0,composite,office,xiamen,24.479834,118.089425
109.0,Khalid Al Attar Tower 2,Dubai,294.0,965.0,66.0,2011.0,concrete,hotel,dubai,25.2550981,55.3052775
110.0,311 South Wacker Drive,C hicago,292.9,961.0,65.0,1990.0,concrete,office,chicago,41.877458,-87.635963
111.0,Sky Tower,Abu Dhabi,292.2,959.0,74.0,2010.0,concrete,residential / office,abudhabi,24.495833,54.4075
112.0,Haeundae I Park Marina Tower 2,Busan,292.1,958.0,72.0,2011.0,composite,residential,busan,35.1563,129.1418
113.0,SEG Plaza,Shenzhen,291.6,957.0,71.0,2000.0,concrete,office,shenzhen,22.5415397,114.0876374
114.0,Dongguan TBA Tower,Dongguan,289.0,948.0,68.0,2013.0,composite,hotel / office,dongguan,0.0,0.0
115.0,Busan International Finance C enter Landmark Tower,Busan,289.0,948.0,63.0,2014.0,concrete,office,busan,35.1795543,129.0756416
116.0,Key Tower,C leveland,288.6,947.0,57.0,1991.0,composite,office,cleveland,41.50144,-81.6941499
117.0,Plaza 66,Shanghai,288.2,945.0,66.0,2001.0,concrete,office,shanghai,31.2253441,121.4888922
118.0,One Liberty Place,Philadelphia,288.0,945.0,61.0,1987.0,steel,office,philadelphia,39.95257895,-75.1681349965
119.0,Sulafa Tower,Dubai,288.0,945.0,76.0,2010.0,concrete,residential,dubai,25.08936,55.1490086
120.0,Kaisa C enter,Huizhou,288.0,945.0,66.0,2015.0,concrete,hotel / office,huizhou,0.0,0.0
121.0,Yingli International Finance C entre,C hongqing,288.0,945.0,58.0,2012.0,concrete,office,chongqing,29.5555532,106.575257
122.0,Shaoxing Shimao C rowne Plaza,Shaoxing,288.0,945.0,55.0,2012.0,composite,hotel / office,shaoxing,0.0,0.0
123.0,"Soochow International Plaza East
Tower",Huzhou,288.0,945.0,50.0,2014.0,composite,hotel / office,huzhou,0.0,0.0
123.0,"Soochow International Plaza West
Tower",Huzhou,288.0,945.0,50.0,2014.0,composite,residential,huzhou,0.0,0.0
125.0,United International Mansion,C hongqing,287.0,942.0,67.0,2013.0,concrete,office,chongqing,0.0,0.0
126.0,HNA&POLY International C entre,C hongqing,286.8,941.0,61.0,2013.0,concrete,office / hotel / retail,chongqing,0.0,0.0
127.0,Millennium Tower,Dubai,285.0,935.0,59.0,2006.0,concrete,residential,dubai,25.1946293,55.266519
128.0,Tomorrow Square,Shanghai,284.6,934.0,60.0,2003.0,concrete,"residential / hotel /
office",shanghai,31.2305575,121.4698092
129.0,C olumbia C enter,Seattle,284.4,933.0,76.0,1984.0,composite,office,seattle,47.6062095,-122.3320708
130.0,D1 Tower,Dubai,284.0,932.0,80.0,2015.0,concrete,residential,dubai,25.227194,55.3407
131.0,"Trump Ocean C lub International
Hotel & Tower",Panama C ity,284.0,932.0,70.0,2011.0,concrete,"residential / hotel /
casino",panamacity,8.975556,-79.507174
132.0,Three International Finance C enter,Seoul,284.0,932.0,55.0,2012.0,composite,office,seoul,37.525219,126.926025
133.0,C hongqing World Trade C enter,C hongqing,283.1,929.0,60.0,2005.0,concrete,office,chongqing,0.0,0.0
134.0,C heung Kong C entre,Hong Kong,282.8,928.0,63.0,1999.0,steel,office,hongkong,22.279444,114.160278
135.0,C ity of Lights C 1 Tower,Abu Dhabi,282.1,926.0,62.0,2015.0,concrete,office,abudhabi,24.4655618,54.3866076
136.0,Al Hekma Tower,Dubai,282.0,925.0,64.0,2015.0,steel/concrete,office,dubai,25.1991853,55.2682669
137.0,Suzhou RunHua Global Building A,Suzhou,282.0,925.0,49.0,2010.0,composite,office,suzhou,31.298979,120.58529
138.0,"Doosan Haeundae We've the Zenith
Tower B",Busan,281.5,924.0,75.0,2011.0,concrete,residential,busan,35.1795543,129.0756416
139.0,Bank of America Plaza,Dallas,280.7,921.0,72.0,1985.0,composite,office,dallas,32.7801146,-96.8037089
140.0,Torre Vitri,Panama C ity,280.7,921.0,75.0,2012.0,concrete,residential,panamacity,9.0106327,-79.4636051
141.0,Marina Pinnacle,Dubai,280.0,919.0,73.0,2011.0,concrete,residential,dubai,25.0886968,55.1481894
142.0,United Overseas Bank Plaza One,Singapore,280.0,919.0,66.0,1992.0,steel,office,singapore,1.352083,103.819836
143.0,Excellence C entury Plaza Tower 1,Shenzhen,280.0,919.0,60.0,2010.0,composite,office,shenzhen,22.543096,114.057865
144.0,Zhengzhou Greenland Plaza,Zhengzhou,280.0,919.0,56.0,2014.0,composite,hotel / office,zhengzhou,34.7764914,113.7196788
145.0,Eton Place Dalian Tower 2,Dalian,279.5,917.0,62.0,2015.0,composite,residential / office,dalian,38.914003,121.614682
146.0,Abraj Al Bait ZamZam Tower,Mecca,279.0,915.0,58.0,2012.0,concrete,hotel,mecca,21.3890824,39.8579118
147.0,C itigroup C enter,New York C ity,278.9,915.0,63.0,1977.0,steel,office,newyorkcity,40.7583616,-73.9698575
148.0,Hong Kong New World Tower,Shanghai,278.3,913.0,59.0,2004.0,composite,hotel / office / retail,shanghai,31.2233237,121.4736472
149.0,World Trade C enter Abu Dhabi - The Offices,Abu Dhabi,278.0,912.0,60.0,2014.0,concrete,office,abudhabi,24.2991738,54.6972774
150.0,Overseas Union Bank C entre,Singapore,277.8,911.0,63.0,1986.0,steel,office,singapore,1.2842969,103.8510638
151.0,Etihad Towers T1,Abu Dhabi,277.6,911.0,69.0,2011.0,concrete,hotel / residential,abudhabi,24.4583442,54.3223175026
152.0,"Trump International Hotel & Tower
Toronto",Toronto,276.9,908.0,63.0,2012.0,concrete,residential / hotel,toronto,43.653226,-79.3831843
153.0,Republic Plaza,Singapore,276.3,906.0,66.0,1996.0,composite,office,singapore,1.3002122,103.8646991
154.0,Abraj Al Bait Hajar Tower,Mecca,276.0,906.0,54.0,2012.0,concrete,hotel,mecca,21.3890824,39.8579118
154.0,"Diwang International C ommerce
C enter",Nanning,276.0,906.0,54.0,2006.0,concrete,hotel / office,nanning,22.817002,108.366543
156.0,Scotia Tower,Toronto,275.0,902.0,68.0,1988.0,composite,office,toronto,43.6495997,-79.3795754
157.0,Riverside C entury Plaza Main Tower,Wuhu,275.0,902.0,66.0,2015.0,composite,hotel / office,wuhu,33.9533487,-117.3961564
158.0,Williams Tower,Houston,274.6,901.0,64.0,1982.0,steel,office,houston,29.7372033,-95.4613183
159.0,Ilham Tower,Kuala Lumpur,274.0,899.0,58.0,2015.0,concrete,residential / office,kualalumpur,3.139003,101.686855
160.0,"Nantong Zhongnan International
Plaza",Nantong,273.3,897.0,53.0,2011.0,steel/concrete,residential / office,nantong,0.0,0.0
161.0,Wuhan World Trade Tower,Wuhan,273.0,896.0,60.0,1998.0,,office,wuhan,30.5803304,114.2688616
162.0,NEO Tower A,Shenzhen,273.0,896.0,56.0,2011.0,concrete,office,shenzhen,22.543096,114.057865
162.0,"Shimao International C enter Office
Tower",Fuzhou,273.0,896.0,56.0,2013.0,composite,office,fuzhou,26.074508,119.296494
164.0,Haeundae I Park Marina Tower 1,Busan,272.9,895.0,66.0,2011.0,composite,residential,busan,35.1563,129.1418
165.0,Lotte C enter Hanoi,Hanoi,272.0,892.0,65.0,2014.0,composite,"residential / office /
hotel",hanoi,21.0277644,105.8341598
166.0,Aura at C ollege Park,Toronto,271.9,892.0,78.0,2014.0,concrete,residential,toronto,43.653226,-79.3831843
167.0,Shanghai Wheelock Square,Shanghai,270.5,887.0,55.0,2010.0,concrete,office,shanghai,31.2215725,121.4448144
168.0,Renaissance Tower,Dallas,270.1,886.0,56.0,1986.0,steel,office,dallas,32.7812536,-96.801994
169.0,Bohai Bank Tower,Tianjin,270.0,886.0,55.0,2015.0,composite,office,tianjin,39.1316218,117.162274
170.0,The C ullinan I,Hong Kong,269.9,886.0,68.0,2008.0,concrete,residential,hongkong,22.305628,114.161022
170.0,The C ullinan II,Hong Kong,269.9,886.0,68.0,2008.0,concrete,residential / hotel,hongkong,22.3047921,114.1606315
172.0,Four Seasons Hotel,Manama,269.7,885.0,50.0,2015.0,concrete,hotel,manama,26.2285161,50.5860497
173.0,C hina International C enter Tower B,Guangzhou,269.5,884.0,62.0,2007.0,concrete,office,guangzhou,23.1364557,113.3291858
174.0,One Lujiazui,Shanghai,269.0,883.0,47.0,2008.0,concrete,office,shanghai,31.248436,121.5720303
175.0,Radisson Royal Hotel Dubai,Dubai,269.0,883.0,60.0,2010.0,concrete,hotel,dubai,25.2048493,55.2707828
176.0,21st C entury Tower,Dubai,269.0,883.0,55.0,2003.0,steel/concrete,residential,dubai,25.210833,55.276111
177.0,Tongde Kunming Plaza,Kunming,269.0,883.0,54.0,2015.0,composite,hotel / office,kunming,25.070023,102.7213001
178.0,Naberezhnaya Tower Block C,Moscow,268.4,881.0,61.0,2007.0,composite,office,moscow,55.755826,37.6173
179.0,Nation Towers Residential Lofts,Abu Dhabi,268.0,879.0,64.0,2012.0,concrete,residential,abudhabi,24.2991738,54.6972774
180.0,Suzhou C enter,Suzhou,268.0,879.0,52.0,2013.0,concrete,hotel / office,suzhou,31.298979,120.58529
181.0,"Jiangxi Nanchang Greenland Zifeng
Tower",Nanchang,268.0,879.0,56.0,2015.0,composite,hotel / office,nanchang,28.682892,115.858198
182.0,Bank of Guangzhou Tower,Guangzhou,267.8,878.0,57.0,2012.0,concrete,office,guangzhou,23.12911,113.264385
183.0,Bicsa Financial C enter,Panama C ity,267.0,876.0,66.0,2013.0,concrete,hotel / office,panamacity,8.9762621,-79.5224346
184.0,Fortune Financial C enter,Beijing,267.0,876.0,60.0,2014.0,composite,office,beijing,39.9179086,116.4605125
184.0,Petronas Tower 3,Kuala Lumpur,267.0,876.0,60.0,2012.0,concrete,office,kualalumpur,3.1577405,101.712167
186.0,Al Faisaliah C enter,Riyadh,266.9,876.0,30.0,2000.0,steel/concrete,office / hotel,riyadh,24.6905765,46.685097
187.0,The Point,Panama C ity,266.0,873.0,67.0,2011.0,concrete,residential,panamacity,8.9709574,-79.5178809
188.0,Bank of America C orporate C enter,C harlotte,265.5,871.0,60.0,1992.0,concrete,office,charlotte,35.2277533,-80.8428821
189.0,Eight Spruce Street,New York C ity,265.2,870.0,76.0,2011.0,concrete,residential,newyorkcity,40.7108841,-74.0056101
190.0,C hangzhou Modern Media C enter,C hangzhou,265.1,870.0,58.0,2013.0,composite,"residential / hotel /
office",changzhou,30.274085,120.15507
191.0,"Doosan Haeundae We've the Zenith
Tower C",Busan,265.0,869.0,70.0,2011.0,concrete,residential,busan,35.1795543,129.0756416
192.0,900 North Michigan Avenue,C hicago,265.0,869.0,66.0,1989.0,concrete/steel,"residential / office /
hotel / retail",chicago,41.8995404,-87.6244712
193.0,Business C entral Tower 1,Dubai,265.0,869.0,53.0,2008.0,concrete,office,dubai,25.1004487,55.1694916
193.0,Business C entral Tower 2,Dubai,265.0,869.0,53.0,2008.0,concrete,office,dubai,25.1004487,55.1694916
195.0,WBC The Palace 1,Busan,265.0,869.0,51.0,2011.0,concrete,residential,busan,35.1795543,129.0756416
195.0,WBC The Palace 2,Busan,265.0,869.0,51.0,2011.0,concrete,residential,busan,35.1795543,129.0756416
197.0,120 C ollins Street,Melbourne,264.9,869.0,52.0,1991.0,concrete,office,melbourne,-37.8143439,144.9698467
198.0,SunTrust Plaza,Atlanta,264.3,867.0,60.0,1992.0,concrete,office,atlanta,33.763,-84.387
199.0,Triumph Palace,Moscow,264.1,866.0,61.0,2005.0,concrete,hotel / residential,moscow,55.79818205,37.5203821864
200.0,PTJ International Finance C enter,Wuhan,264.0,866.0,56.0,2014.0,composite,hotel / office,wuhan,30.593099,114.305393
201.0,"Tower Palace Three, Tower G",Seoul,263.7,865.0,73.0,2004.0,composite,residential,seoul,37.487164,127.053258
202.0,U-Bora Tower 1,Dubai,262.8,862.0,58.0,2011.0,concrete,office,dubai,25.1813919,55.2706839
203.0,Bitexco Financial Tower,Ho C hi Minh C ity,262.5,861.0,68.0,2010.0,concrete,office,hochiminhcity,10.7718007,106.7044406
204.0,Trump World Tower,New York C ity,262.4,861.0,72.0,2001.0,concrete,residential,newyorkcity,0.0,0.0
205.0,Wisma 46,Jakarta,261.9,859.0,46.0,1996.0,concrete,office,jakarta,-6.2021027,106.8842376
206.0,Water Tower Place,C hicago,261.9,859.0,74.0,1976.0,concrete,"residential / hotel /
retail",chicago,42.542644,-88.59466
207.0,66 Tower 1,Shanghai,261.8,859.0,54.0,2005.0,concrete,office,shanghai,31.23602795,121.496031124
207.0,66 Tower 2,Shanghai,261.8,859.0,54.0,2005.0,concrete,office,shanghai,31.23602795,121.496031124
209.0,Aqua,C hicago,261.8,859.0,86.0,2009.0,concrete,residential / hotel,chicago,41.8864655,-87.6201034
210.0,Aon C enter,Los Angeles,261.5,858.0,62.0,1974.0,steel,office,losangeles,34.0492347,-118.2569947
211.0,East Pacific C enter Tower B,Shenzhen,261.0,856.0,72.0,2013.0,composite,residential,shenzhen,22.543096,114.057865
212.0,Sapphire Tower,Istanbul,261.0,856.0,55.0,2010.0,concrete,residential,istanbul,41.0082376,28.9783589
213.0,Brookfield Place,Toronto,260.9,856.0,53.0,1990.0,composite,office,toronto,43.64717595,-79.3782957945
214.0,Etihad Towers T3,Abu Dhabi,260.3,854.0,60.0,2011.0,concrete,office,abudhabi,24.4583442,54.3223175026
215.0,Guangdong Telecom Plaza,Guangzhou,260.0,853.0,68.0,2002.0,concrete,office,guangzhou,23.1250898,113.2934817
216.0,Vision Tower,Dubai,260.0,853.0,60.0,2011.0,concrete,office,dubai,25.187406,55.2642
217.0,SunnyWorld C enter,Shenyang,260.0,853.0,59.0,2014.0,concrete,hotel / office,shenyang,41.805699,123.431472
218.0,Jing An Kerry C entre Tower 2,Shanghai,260.0,853.0,58.0,2013.0,composite,hotel / office,shanghai,31.230416,121.473701
219.0,Yuyang Tower,Fuzhou,260.0,853.0,56.0,2014.0,composite,office,fuzhou,26.074508,119.296494
220.0,"Beijing Greenland Dawangjing
Tower",Beijing,260.0,853.0,55.0,2016.0,composite,"serviced apartments /
office",beijing,39.904211,116.407395
221.0,Dual Towers 1,Manama,260.0,853.0,53.0,2007.0,concrete,office,manama,26.2285161,50.5860497
221.0,Dual Towers 2,Manama,260.0,853.0,53.0,2007.0,concrete,office,manama,26.2285161,50.5860497
